순위,선수명,팀명,타점,ops,경기수
1,양의지,NC,111,0.995,141
6,최정,SSG,100,0.972,134
1,강백호,KT,102,0.971,142
1,이정후,키움,84,0.96,123
5,한유섬,SSG,95,0.907,135
7,김재환,두산,102,0.883,137
2,구자욱,삼성,88,0.88,139
6,오재일,삼성,97,0.878,120
1,전준우,롯데,92,0.874,144
7,알테어,NC,84,0.872,143
1,홍창기,LG,52,0.864,144
11,추신수,SSG,69,0.86,137
5,피렐라,삼성,97,0.854,140
5,노시환,한화,84,0.852,107
6,나성범,NC,101,0.844,144
2,박건우,두산,63,0.841,126
10,박석민,NC,41,0.841,59
4,강민호,삼성,67,0.839,123
1,김태연,한화,34,0.838,53
4,안치홍,롯데,82,0.837,119
3,페르난데스,두산,81,0.834,141
8,양석환,두산,96,0.827,133
4,유한준,KT,42,0.827,104
5,정훈,롯데,79,0.818,135
4,김현수,LG,96,0.811,140
5,채은성,LG,82,0.811,110
10,한동희,롯데,69,0.807,129
8,박동원,키움,83,0.802,131
4,노진혁,NC,58,0.801,107
3,최재훈,한화,44,0.792,116
2,정은원,한화,39,0.791,139
7,이대호,롯데,81,0.79,114
2,손아섭,롯데,58,0.787,139
4,송우현,키움,42,0.786,69
14,최주환,SSG,67,0.782,116
3,김성현,SSG,37,0.778,110
2,김선빈,KIA,67,0.776,130
3,이용규,키움,43,0.765,133
1,박성한,SSG,44,0.765,135
20,로맥,SSG,52,0.765,107
3,박해민,삼성,54,0.76,127
5,황재균,KT,56,0.76,117
13,박병호,키움,76,0.753,118
11,김인태,두산,46,0.751,133
7,이성곤,한화,24,0.751,62
3,최원준,KIA,44,0.742,143
14,오윤석,KT,16,0.742,97
15,지시완,롯데,26,0.741,73
11,김웅빈,키움,35,0.741,97
9,알몬테,KT,36,0.74,60
2,김혜성,키움,66,0.739,144
10,라모스,LG,25,0.739,51
8,오태곤,SSG,35,0.739,122
4,하주석,한화,68,0.738,138
6,페레즈,한화,33,0.732,59
11,배정대,KT,68,0.731,144
16,김강민,SSG,27,0.731,122
15,호잉,KT,52,0.73,68
13,최형우,KIA,55,0.729,104
8,허도환,KT,21,0.729,62
9,박계범,두산,46,0.725,118
16,이형종,LG,34,0.721,90
8,마차도,롯데,58,0.72,134
4,이재원,SSG,30,0.72,107
4,류지혁,KIA,34,0.715,92
17,안중열,롯데,16,0.714,58
7,김헌곤,삼성,27,0.711,118
18,장성우,KT,63,0.711,127
11,전민수,NC,16,0.708,71
12,최지훈,SSG,45,0.704,136
6,허경민,두산,59,0.703,136
10,크레익,키움,30,0.703,61
12,추재현,롯데,26,0.702,95
14,김주원,NC,16,0.702,69
9,황대인,KIA,45,0.701,86
10,정수빈,두산,37,0.7,104
8,힐리,한화,37,0.7,67
13,문보경,LG,39,0.7,107
7,이정훈,KIA,14,0.699,41
9,이재원,LG,17,0.699,62
9,박민우,NC,18,0.699,50
10,심우준,KT,48,0.694,139
7,서건창,LG,52,0.693,144
8,유강남,LG,60,0.692,130
6,김재유,롯데,18,0.691,87
9,송성문,키움,33,0.691,66
6,오지환,LG,57,0.691,134
16,이원석,삼성,59,0.687,131
10,터커,KIA,59,0.684,127
13,강진성,NC,38,0.68,124
14,강승호,두산,37,0.676,113
16,조한민,한화,18,0.672,52
7,천성호,KT,4,0.672,41
7,프레이타스,키움,14,0.671,43
5,최정원,NC,8,0.671,72
10,이영빈,LG,16,0.668,72
15,최인호,한화,23,0.667,49
5,최용제,두산,15,0.664,79
14,김민수,롯데,25,0.664,82
12,정주현,LG,10,0.664,73
15,김민성,LG,39,0.663,121
12,안재석,두산,14,0.662,96
13,안상현,SSG,4,0.66,37
17,이흥련,SSG,14,0.657,90
2,이상호,LG,12,0.656,45
5,김태진,KIA,36,0.655,99
19,김찬형,SSG,7,0.655,88
16,장승현,두산,27,0.654,92
19,김태군,NC,24,0.652,102
9,고종욱,SSG,18,0.651,88
18,장두성,롯데,4,0.65,43
24,박경수,KT,33,0.648,118
18,정의윤,SSG,24,0.645,62
8,박찬호,KIA,59,0.644,131
13,이성열,한화,20,0.642,46
11,노수광,한화,14,0.64,52
22,박준영,NC,31,0.638,111
18,김호령,KIA,15,0.637,62
13,김동엽,삼성,24,0.637,69
18,정현,NC,7,0.637,68
21,문상철,KT,16,0.636,53
9,김지찬,삼성,26,0.635,120
15,김재현,키움,8,0.635,39
6,이지영,키움,31,0.633,108
20,박승규,삼성,5,0.632,59
14,김민하,한화,17,0.632,46
17,신본기,KT,19,0.632,96
19,김주형,키움,5,0.628,36
18,전병우,키움,31,0.627,115
15,김민식,KIA,26,0.624,100
18,권민석,두산,1,0.624,33
11,강한울,삼성,27,0.624,124
23,김준태,KT,15,0.623,58
17,정진기,NC,21,0.623,88
16,조용호,KT,48,0.622,138
14,김상수,삼성,42,0.621,132
16,한승택,KIA,16,0.617,82
20,송민섭,KT,7,0.612,122
19,이학주,삼성,20,0.611,66
10,장운호,한화,28,0.602,103
23,김기환,NC,13,0.6,62
12,변상권,키움,20,0.596,72
17,이창진,KIA,33,0.593,105
12,정진호,한화,15,0.591,47
19,김태훈,KT,6,0.589,44
20,배성근,롯데,9,0.588,78
14,문성주,LG,10,0.581,31
18,이천웅,LG,16,0.576,68
15,안권수,두산,4,0.575,87
17,김호재,삼성,7,0.575,87
21,김용의,LG,2,0.573,102
19,김재호,두산,24,0.567,89
17,박세혁,두산,30,0.566,96
21,나승엽,롯데,10,0.563,60
19,이우성,KIA,4,0.562,65
22,박정우,KIA,4,0.558,32
26,백용환,한화,4,0.551,39
19,보어,LG,17,0.545,32
25,도태훈,NC,9,0.531,77
21,최정용,KIA,2,0.518,53
20,신준우,키움,4,0.518,56
15,이원재,NC,7,0.512,31
16,최승민,NC,1,0.508,48
22,예진원,키움,8,0.502,52
26,나지완,KIA,7,0.497,31
17,박정현,한화,9,0.49,33
19,이동훈,한화,2,0.467,33
21,이원석,한화,9,0.466,43
20,박대온,NC,5,0.466,42
25,김휘집,키움,8,0.465,34
22,안익훈,LG,1,0.464,48
23,김재성,LG,3,0.454,58
17,이성우,LG,2,0.447,36
24,임종찬,한화,8,0.443,42
25,유장혁,한화,7,0.442,34
21,오재원,두산,5,0.436,45
28,김규성,KIA,2,0.411,54
26,이홍구,KT,5,0.408,37
29,강상원,한화,2,0.406,35
22,이도윤,한화,2,0.399,56
24,구본혁,LG,3,0.389,123
25,신민재,LG,2,0.389,32
