CO2배출량,연비,배기량,등급
68,22.4,1798,1
69,22.4,1580,1
74,21.1,1580,1
74,20.9,1798,1
78,20.2,1580,1
79,20.1,1999,1
79,20.1,1999,1
80,19.8,1999,1
81,19.7,1999,1
81,19.5,1580,1
79,19.5,1580,1
82,19.3,1580,1
83,19.1,1999,1
83,19.1,1999,1
82,18.9,1993,1
82,18.9,1993,1
85,18.8,1999,1
85,18.8,1999,1
84,18.6,1497,1
88,18,1999,1
88,18,1999,1
89,18,1999,1
104,17.8,1582,1
104,17.7,1461,1
91,17.6,1999,1
91,17.6,1999,1
105,17.6,1598,1
92,17.5,2487,1
105,17.5,1598,1
92,17.4,1580,1
107,17.3,1598,1
91,17.2,2487,1
94,17.2,1999,1
108,17.2,1582,1
95,17.1,1796,1
92,17.1,1580,1
109,17.1,1499,1
93,17,2487,1
93,17,1798,1
109,17,1598,1
109,17,1582,1
109,16.9,1496,1
110,16.8,1598,1
95,16.7,1987,1
95,16.7,2487,1
111,16.7,1582,1
96,16.6,2487,1
113,16.5,1496,1
113,16.4,1598,1
97,16.3,1999,1
114,16.3,1598,1
115,16.3,1598,1
99,16.2,1598,1
97,16.2,2359,1
97,16.2,2359,1
97,16.2,2359,1
116,16.1,1598,1
116,16.1,1995,1
101,16,998,0
101,16,998,0
103,15.9,2359,2
100,15.9,1987,2
101,15.9,2487,2
117,15.9,1968,2
102,15.8,1598,2
103,15.8,1999,2
118,15.8,1598,2
119,15.8,1968,2
118,15.8,1598,2
119,15.8,1995,2
118,15.8,1598,2
101,15.7,2487,2
104,15.7,998,0
104,15.7,998,0
101,15.7,2487,2
119,15.7,1598,2
119,15.6,1995,2
120,15.6,1597,2
120,15.6,1598,2
120,15.6,1598,2
120,15.6,1499,2
120,15.6,1995,2
102,15.5,2487,2
121,15.5,1499,2
125,15.5,1995,2
106,15.4,1598,2
106,15.4,998,0
106,15.4,998,0
121,15.4,1995,2
106,15.3,1598,2
106,15.3,1598,2
106,15.3,1598,2
106,15.3,998,0
106,15.3,998,0
123,15.3,1995,2
122,15.3,1598,2
123,15.3,1598,2
122,15.3,1598,2
123,15.3,1598,2
122,15.3,1598,2
122,15.3,1598,2
128,15.3,1995,2
108,15.2,1598,2
108,15.2,2359,2
108,15.2,2359,2
108,15.2,1598,2
108,15.2,1598,2
124,15.2,1995,2
124,15.2,1597,2
124,15.2,1597,2
124,15.2,1968,2
124,15.2,2199,2
123,15.2,1597,2
